Date,Site ID,Call Setup Success Rate ,CSFB Preparation Success Rate,DL Traffic In GB,UL Traffic In GB,Total Traffic in GB,Average User Throughput in DownLink In Mbps,Average User Throughput in UpLink In Mbps,Average DL PDCP Throughput In Mbps,Average UL PDCP Throughput In Mbps,PS Drop Call Rate,Average Number of Users in a Cell,Intra Frequency HOSR,Inter Frequency HOSR,Cell_Availability,DL BLER ,DL PRB Utilization ,UL PRB Utilization 
06-11-2025,Site_4,99.78221339,99.98169169,508.4440151,76.83942318,585.2834383,9.290229527,0.414021988,12.22838506,1.533420281,0.1565442,15.4553723,99.02776989,99.15848527,100,7.713517514,32.21255216,15.25424002
06-11-2025,Site_3,99.76794254,99.95827683,572.2618123,80.67769694,652.9395093,15.96214666,0.592595013,13.03210539,1.584094357,0.142671951,12.70651235,99.45435411,99.3610728,100,8.061367792,28.36864719,15.96311792
07-11-2025,Site_1,99.74129017,99.9923307,792.5280522,101.7492573,894.2773095,13.33322636,0.352125873,12.64109203,1.290476526,0.19839656,17.83074846,98.86725152,99.51665376,100,8.433449326,31.94558216,18.73251518
07-11-2025,Site_3,99.78031259,99.967735,566.8293056,82.8512975,649.6806031,15.86091613,0.548741308,12.48836494,1.566744776,0.144087145,12.52575231,99.44762281,99.39560687,100,7.907980387,27.59535117,15.79020928
07-11-2025,Site_4,99.78710724,99.95174677,509.2473241,74.75786817,584.0051923,11.36122323,0.521320312,12.99122355,1.62551814,0.142927288,14.74073592,99.09065244,99.02509558,100,7.027366897,31.47480525,15.44071509
07-11-2025,Site_5,99.75619742,100,421.6958047,76.15123141,497.8470361,18.72586426,1.152863429,14.42892455,2.639155675,0.078514398,23.87881944,98.90404286,99.81449345,100,6.084532074,28.33109978,13.9519872
07-11-2025,Site_2,99.84047771,99.98724327,731.4397365,91.64830995,823.0880464,17.14379508,0.419708321,13.56277861,1.421132647,0.097942813,15.53560185,98.77731796,99.74916158,100,6.933753527,27.69268362,15.19503858
08-11-2025,Site_1,99.72967121,99.98186435,739.719678,95.14325857,834.8629366,15.91498374,0.296498853,12.47885956,1.256140075,0.181108124,16.75953318,99.1049687,99.50333355,100,8.28112769,28.79669359,17.95974593
08-11-2025,Site_3,99.80586147,99.95610184,559.3616637,73.30378795,632.6654516,17.72933839,0.54393347,13.80597136,1.55338197,0.133488411,11.8538233,99.52967415,99.46503699,100,7.826377444,27.3325996,15.12537262
08-11-2025,Site_5,99.78702148,99.86123959,414.6962969,76.1582948,490.8545917,20.26118933,1.398404751,14.24364492,2.647853548,0.076019024,23.59395255,98.89446109,99.92120666,100,6.18403814,26.70865923,13.50289122
08-11-2025,Site_4,99.7839711,99.97833857,381.1306367,58.73212385,439.8627605,13.83994004,0.594741598,12.08760021,1.603958468,0.124951344,12.35887828,98.98457627,98.85078938,100,6.67901858,26.44304542,12.53145576
08-11-2025,Site_2,99.83112365,99.98697747,682.1277398,90.3275125,772.4552523,18.36497406,0.342298461,13.38494949,1.487224732,0.103517798,15.28235725,99.00287565,99.58053154,100,6.754659809,26.31487987,15.1537658
09-11-2025,Site_3,99.811429,99.97687594,483.9845184,72.57371521,556.5582336,17.11882578,0.606325426,12.69815121,1.616633543,0.127093159,11.54201389,99.52346786,99.63465747,100,7.55383518,25.49599747,14.6687959
09-11-2025,Site_1,99.74057946,99.83948636,752.6684419,94.38482451,847.0532664,15.60752249,0.346968866,12.91324973,1.305903035,0.174829972,16.30181327,99.09685188,99.69288681,100,8.295815317,29.80483031,17.6360775
